NOC,Gold,Silver,Bronze,Total,country
NOR,16,8,13,37,Norway
GER,12,10,5,27,Germany
USA,8,10,7,25,United States
CHN,9,4,2,15,People's Republic of China
SWE,8,5,5,18,Sweden
NED,8,5,4,17,Netherlands
AUT,7,7,4,18,Austria
SUI,7,2,6,15,Switzerland
ROC,6,12,14,32,ROC
FRA,5,7,2,14,France
CAN,4,8,14,26,Canada
JPN,3,6,9,18,Japan
ITA,2,7,8,17,Italy
KOR,2,5,2,9,Republic of Korea
SLO,2,3,2,7,Slovenia
FIN,2,2,4,8,Finland
NZL,2,1,0,3,New Zealand
AUS,1,2,1,4,Australia
GBR,1,1,0,2,Great Britain
HUN,1,0,2,3,Hungary
CZE,1,0,1,2,Czechia
SVK,1,0,1,2,Slovakia
BLR,0,2,0,2,Belarus
ESP,0,1,0,1,Spain
UKR,0,1,0,1,Ukraine
BEL,0,1,0,1,Belgium
EST,0,0,1,1,Estonia
LVA,0,0,1,1,Unknown
POL,0,0,1,1,Poland
RUS,11,9,9,29,Russian Federation
NOR,11,6,9,26,Norway
CAN,10,10,5,25,Canada
USA,9,9,10,28,United States
NED,8,7,9,24,Netherlands
GER,8,6,5,19,Germany
SUI,7,2,2,11,Switzerland
BLR,5,0,1,6,Belarus
AUT,4,8,5,17,Austria
FRA,4,4,7,15,France
POL,4,1,1,6,Poland
CHN,3,4,2,9,People's Republic of China
KOR,3,3,2,8,Republic of Korea
SWE,2,7,6,15,Sweden
CZE,2,4,3,9,Czechia
SLO,2,2,4,8,Slovenia
JPN,1,4,3,8,Japan
FIN,1,3,1,5,Finland
GBR,1,1,3,5,Great Britain
LAT,1,1,3,5,Latvia
UKR,1,1,0,2,Ukraine
SVK,1,0,0,1,Slovakia
ITA,0,2,7,9,Italy
AUS,0,2,1,3,Australia
CRO,0,1,0,1,Croatia
KAZ,0,0,1,1,Kazakhstan
CAN,14,7,5,26,Canada
GER,10,13,7,30,Germany
USA,9,15,13,37,United States
NOR,9,8,6,23,Norway
KOR,6,6,2,14,Republic of Korea
SUI,6,0,3,9,Switzerland
CHN,5,2,4,11,People's Republic of China
SWE,5,2,4,11,Sweden
AUT,4,6,6,16,Austria
NED,4,1,3,8,Netherlands
RUS,3,5,7,15,Russian Federation
FRA,2,3,6,11,France
AUS,2,1,0,3,Australia
CZE,2,0,4,6,Czechia
POL,1,3,2,6,Poland
ITA,1,1,3,5,Italy
BLR,1,1,1,3,Belarus
SVK,1,1,1,3,Slovakia
GBR,1,0,0,1,Great Britain
JPN,0,3,2,5,Japan
SLO,0,2,1,3,Slovenia
CRO,0,2,1,3,Croatia
LAT,0,2,0,2,Latvia
FIN,0,1,4,5,Finland
KAZ,0,1,0,1,Kazakhstan
EST,0,1,0,1,Estonia
GER,11,12,6,29,Germany
USA,9,9,7,25,United States
AUT,9,7,7,23,Austria
RUS,8,6,8,22,Russian Federation
CAN,7,10,7,24,Canada
SWE,7,2,5,14,Sweden
KOR,6,3,2,11,Republic of Korea
SUI,5,4,5,14,Switzerland
ITA,5,0,6,11,Italy
FRA,3,2,4,9,France
NED,3,2,4,9,Netherlands
EST,3,0,0,3,Estonia
NOR,2,8,9,19,Norway
CHN,2,4,5,11,People's Republic of China
CZE,1,2,1,4,Czechia
CRO,1,2,0,3,Croatia
AUS,1,0,1,2,Australia
JPN,1,0,0,1,Japan
FIN,0,6,3,9,Finland
POL,0,1,1,2,Poland
BLR,0,1,0,1,Belarus
GBR,0,1,0,1,Great Britain
BUL,0,1,0,1,Bulgaria
SVK,0,1,0,1,Slovakia
UKR,0,0,2,2,Ukraine
LAT,0,0,1,1,Latvia
